Model: gaussian_naive_bayes
Accuracy: 0.48773661713820476
Mean Squared Error: 579.7940158762467
Confusion Matrix (as DataFrame):
      0    1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83
17     8   11   2   4   0  13   5   5   0   2  11   0   2  10   5   0   0   2   0   2   0   0   0   8   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   2   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0  47   0   0  36   1   0   0   0   3   0   0   0
18     7    5   5   5   0   5   6   4   0   2   5   0   0  15   2   0   0   4   0   0   0   0   2   5   1   0   0   4   0   2   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0  34   0   0  33   3   0   0   0   4   0   0   0
19     3   10   7   2   0  11   1   7   2   3   8   0   3   7  10   1   0   3   0   2   0   0   0  13   0   0   0   4   0   2   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   2   0   0  36   0   0  31   3   0   0   0   1   0   0   0
20     7    9   7   5   1   5   1   1   0   1   6   1   1  12   3   0   0   6   0   1   0   0   0   5   0   0   0   2   0   2   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0  36   0   0  33   1   0   0   0   2   0   0   0
21     2    7   6   2   0   5   3   2   0   2   4   0   1  10   6   0   1   5   0   2   0   0   0   3   1   1   0   5   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3   0   0  32   0   0  36   2   0   0   0   2   1   0   0
22     2   13   7   4   0   2   2   0   0   0   2   0   1   8   1   0   0   2   0   0   0   0   1   9   2   0   0   1   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0  33   0   0  24   3   0   0   0   0   1   0   0
23     1    7   3   4   0   4   4   3   0   0   8   0   0   6   1   0   1   2   1   2   0   0   0   8   0   0   0   5   0   2   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   0   0  31   0   0  22   1   0   0   0   1   1   0   0
24     1    3   4   4   0   7   1   0   2   0   6   0   0   0   6   0   0   3   0   5   0   0   0   7   1   0   0   2   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  37   0   0  21   1   0   0   0   2   1   0   0
25     1    5   1   0   0   5   1   1   0   1   3   0   0   3   7   0   0   1   0   0   0   0   1   8   1   1   0   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  36   0   0  17   4   1   0   0   1   0   0   0
26     1    5   5   1   0   6   3   2   0   1   1   1   0   8   4   0   0   1   0   2   0   0   0   5   0   0   1   1   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0  23   0   0  28   6   0   0   0   1   0   0   0
27     0    5   8   0   0   4   1   1   1   1   0   0   3   3   4   0   0   1   0   1   0   0   0   5   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0  28   0   0  26   1   0   0   0   3   1   0   0
