""               , "acousticness"       , "danceability"       , "energy"             , "instrumentalness"   , "liveness"            , "loudness"           , "speechiness"       , "tempo"              , "valence"           , "duration"            , "explicit"           , "key"                 , "mode"                , "time_signature"      , "followers"          , "album_popularity"   , "artist_popularity"   , "popularity"
acousticness     , 1                    , -0.2931262403461861  , -0.7531416784036422  , 0.2740040064983196   , -0.0512793513512027   , -0.5700384883480692  , -0.04261949392266058, -0.21072280105314323 , -0.24193437086577257, -0.09768580650626935  , -0.20938130827114182 , -0.028593225151543694 , 0.04647370113593441   , -0.16418348487481135  , -0.18063404304856215 , -0.3110839787662812  , -0.2334270961208268   , -0.3111832153152633
danceability     , -0.2931262403461861  , 1                    , 0.25067202698499663  , -0.27890327385692204 , -0.07174170501059565  , 0.3087065585828572   , 0.2533783638497107  , 0.03828694169500738  , 0.5936822814562602  , -0.09765113281754438  , 0.18051234572486313  , 0.03029951329809449   , -0.031848176648723255 , 0.1802323241561567    , 0.0014936365037716837, 0.12204084651397772  , 0.07061077645937941   , 0.12595557116770154
energy           , -0.7531416784036422  , 0.25067202698499663  , 1                    , -0.23762141138900023 , 0.14789315261516206   , 0.7909184725789622   , -0.08294637943740336, 0.26393664637016095  , 0.3904097891852507  , 0.0627829930672986    , 0.12327061122044893  , 0.0208829607814215    , -0.030103858636301776 , 0.19306798147226972   , 0.17004321542777637  , 0.2542806405301013   , 0.20227534811553996   , 0.25863792388348117
instrumentalness , 0.2740040064983196   , -0.27890327385692204 , -0.23762141138900023 , 1                    , -0.08744546751974436  , -0.369219023092796   , -0.1533310387319981 , -0.07862482460677045 , -0.268372933847389  , 0.10692519283940821   , -0.1218897277272638  , -0.010904432194814451 , -0.04832408206082771  , -0.05787217708232001  , -0.07655518731053992 , -0.28309112875012743 , -0.15496528154325045  , -0.24243232836227932
liveness         , -0.0512793513512027  , -0.07174170501059565 , 0.14789315261516206  , -0.08744546751974436 , 1                     , 0.08258454937080366  , 0.16812401088927043 , 0.009946855429666826 , 0.008851622515865264, -0.006331085853536865 , 0.08223488891217533  , -0.005991627288931906 , -0.0015411049095985275, -0.008942410612812474 , 0.04225070966220836  , -0.00685957002479726 , 0.003975950607475665  , -0.03804520901611577
loudness         , -0.5700384883480692  , 0.3087065585828572   , 0.7909184725789622   , -0.369219023092796   , 0.08258454937080366   , 1                    , -0.15043160758605134, 0.23323120539205605  , 0.3869191455104322  , 0.03118983990939494   , 0.10790343291657685  , 0.0066324124613153755 , 0.01212671638261665   , 0.1805498300384206    , 0.1428708127623031   , 0.22178290431077127  , 0.15308598362802495   , 0.24423841779096914
speechiness      , -0.04261949392266058 , 0.2533783638497107   , -0.08294637943740336 , -0.1533310387319981  , 0.16812401088927043   , -0.15043160758605134 , 1                   , -0.03320973996254827 , 0.046118070974229736, -0.09386911161545285  , 0.34722911105780807  , 0.0496484884062318    , -0.06627164196407238  , -0.07884670070210788  , -0.04935059815789342 , -0.1433107638017983  , -0.11031491315920021  , -0.14868895850177888
tempo            , -0.21072280105314323 , 0.03828694169500738  , 0.26393664637016095  , -0.07862482460677045 , 0.009946855429666826  , 0.23323120539205605  , -0.03320973996254827, 1                    , 0.2034383491806312  , -0.008869874855685373 , -0.01016442780599487 , 0.0007651243964276698 , 0.020293157051850617  , 0.0660798835038737    , 0.037564529504970946 , 0.07397087520769599  , 0.06147616537600531   , 0.07588073068757624
valence          , -0.24193437086577257 , 0.5936822814562602   , 0.3904097891852507   , -0.268372933847389   , 0.008851622515865264  , 0.3869191455104322   , 0.046118070974229736, 0.2034383491806312   , 1                   , -0.17817521237614634  , 0.020044686752008087 , 0.016100157822188425  , 0.04118061415769167   , 0.15631502153752327   , 0.01503700304175795  , 0.16021749074727476  , 0.12066068912293437   , 0.13246179761914348
duration         , -0.09768580650626935 , -0.09765113281754438 , 0.0627829930672986   , 0.10692519283940821  , -0.006331085853536865 , 0.03118983990939494  , -0.09386911161545285, -0.008869874855685373, -0.17817521237614634, 1                     , -0.038267712228381705, -0.0003789773484831355, -0.04644994257197237  , 0.04844332938189996   , 0.03005900063441663  , -0.020177667005030753, 0.02554360158366772   , 0.03803492488404886
